Distance(au)                    Energy(au)
3.5687                    -1.008290929777
3.5733                    -1.008005136853
3.578                    -1.00771375729
3.5827                    -1.007423010118
3.5874                    -1.007132894731
3.592                    -1.006849563188
3.5967                    -1.006560696095
3.6014                    -1.006272458962
3.6061                    -1.005984851129
3.6108                    -1.005697871897
3.6154                    -1.005417606762
3.6201                    -1.005131869572
3.6248                    -1.004846759066
3.6295                    -1.004562274572
3.6341                    -1.004284448456
3.6388                    -1.004001200649
3.6435                    -1.0037185768
3.6482                    -1.00343657621
3.6529                    -1.003155198161
3.6575                    -1.00288040901
3.6622                    -1.00260026069
3.6669                    -1.00232073276
3.6716                    -1.002041824485
3.6762                    -1.001769449735
3.6809                    -1.001491765395
3.6856                    -1.001214698484
3.6903                    -1.000938248227
3.6949                    -1.000668276292
3.6996                    -1.000393044006
3.7043                    -1.000118426104
3.709                    -0.999844421803
3.7137                    -0.99957103032
3.7183                    -0.999304048321
3.723                    -0.99903186712
3.7277                    -0.998760296365
3.7324                    -0.998489335297
3.737                    -0.998224728943
3.7417                    -0.997954971885
3.7464                    -0.997685822069
3.7511                    -0.997417278757
3.7558                    -0.997149341051
3.7604                    -0.996887689874
3.7651                    -0.996620948188
3.7698                    -0.996354809772
3.7745                    -0.996089273754
3.7791                    -0.995829969967
3.7838                    -0.995565623522
3.7885                    -0.995301877035
3.7932                    -0.995038729683
3.7978                    -0.994781760569
3.8025                    -0.994519796307
3.8072                    -0.994258428713
3.8119                    -0.993997656955
3.8166                    -0.993737480243
3.8212                    -0.99348341457
3.8259                    -0.993224412794
3.8306                    -0.992966003551
3.8353                    -0.992708186045
3.8399                    -0.992456426184
3.8446                    -0.992199777076
3.8493                    -0.991943717212
3.854                    -0.991688245747
3.8587                    -0.991433361873
3.8633                    -0.991184469221
3.868                    -0.990930745545
3.8727                    -0.990677606964
3.8774                    -0.990425052643
3.882                    -0.99017843672
3.8867                    -0.989927036018
3.8914                    -0.989676217077
3.8961                    -0.989425979061
3.9008                    -0.989176321123
3.9054                    -0.98893253595
3.9101                    -0.988684023354
3.9148                    -0.988436088329
3.9195                    -0.988188730013
3.9241                    -0.987947192288
3.9288                    -0.98770097266
3.9335                    -0.987455327222
3.9382                    -0.987210255121
3.9428                    -0.986970951666
3.9475                    -0.986727011507
3.9522                    -0.986483642101
3.9569                    -0.986240842628
3.9616                    -0.985998612199
3.9662                    -0.985762085781
3.9709                    -0.98552097876
3.9756                    -0.985280438183
3.9803                    -0.985040463144
3.9849                    -0.984806140774
3.9896                    -0.984567282246
3.9943                    -0.984328986641
3.999                    -0.984091253068
4.0037                    -0.983854080628
4.0083                    -0.983622496897
4.013                    -0.983386432131
4.0177                    -0.983150925808
4.0224                    -0.982915977015
4.027                    -0.982686756617
4.0317                    -0.982452918648
4.0364                    -0.982219634719
4.0411                    -0.981986903834
4.0457                    -0.98175965922
4.0504                    -0.981528019814
4.0551                    -0.981296930535
4.0598                    -0.981066390501
4.0645                    -0.980836398707
4.0691                    -0.980611830297
4.0738                    -0.980382920481
4.0785                    -0.980154556036
4.0832                    -0.979926736001
4.0878                    -0.979704289434
4.0925                    -0.9794775438
4.0972                    -0.979251339705
4.1019                    -0.979025676202
4.1066                    -0.978800552303
4.1112                    -0.978580739896
4.1159                    -0.978356680958
4.1206                    -0.978133158789
4.1253                    -0.977910172416
4.1299                    -0.977692448363
4.1346                    -0.977470519412
4.1393                    -0.977249123429
4.144                    -0.97702825946
4.1486                    -0.976812608952
4.1533                    -0.976592794886
4.158                    -0.976373509998
4.1627                    -0.976154753341
4.1674                    -0.975936523964
4.172                    -0.975723447433
4.1767                    -0.975506258593
4.1814                    -0.975289594177
4.1861                    -0.9750734533
4.1907                    -0.974862417174
4.1954                    -0.974647309385
4.2001                    -0.974432722285
4.2048                    -0.974218654929
4.2095                    -0.974005106373
4.2141                    -0.973796602853
4.2188                    -0.973584078059
4.2235                    -0.973372069259
4.2282                    -0.973160575495
4.2328                    -0.972954079406
4.2375                    -0.972743601972
4.2422                    -0.972533636757
4.2469                    -0.972324182814
4.2516                    -0.972115239196
4.2562                    -0.971911234408
4.2609                    -0.971703297784
4.2656                    -0.971495868656
4.2703                    -0.971288946073
4.2749                    -0.971086915677
4.2796                    -0.9708809926
4.2843                    -0.970675573212
4.289                    -0.970470656595
4.2936                    -0.970270585805
4.2983                    -0.970066661173
4.303                    -0.96986323644
4.3077                    -0.969660310645
4.3124                    -0.969457882825
4.317                    -0.969260243255
4.3217                    -0.96905879795
4.3264                    -0.968857847747
4.3311                    -0.968657391679
4.3357                    -0.968461678179
4.3404                    -0.968262197008
