Distance(au)                    Energy(au)
1.35012506                    -1.174905683463
1.35022511                    -1.174907904751
1.35032516                    -1.17491012149
1.35042521                    -1.174912333684
1.35052526                    -1.174914541334
1.35062531                    -1.17491674444
1.35072536                    -1.174918943007
1.35082541                    -1.174921137032
1.35092546                    -1.174923326519
1.35102551                    -1.174925511471
1.35112556                    -1.174927691886
1.35122561                    -1.174929867769
1.35132566                    -1.17493203912
1.35142571                    -1.17493420594
1.35152576                    -1.174936368231
1.35162581                    -1.174938525995
1.35172586                    -1.174940679234
1.35182591                    -1.174942827949
1.35192596                    -1.174944972141
1.35202601                    -1.174947111811
1.35212606                    -1.174949246963
1.35222611                    -1.174951377597
1.35232616                    -1.174953503713
1.35242621                    -1.174955625315
1.35252626                    -1.174957742404
1.35262631                    -1.174959854983
1.35272636                    -1.174961963049
1.35282641                    -1.174964066607
1.35292646                    -1.174966165659
1.35302651                    -1.174968260204
1.35312656                    -1.174970350246
1.35322661                    -1.174972435784
1.35332666                    -1.174974516823
1.35342671                    -1.174976593363
1.35352676                    -1.174978665403
1.35362681                    -1.174980732947
1.35372686                    -1.174982795998
1.35382691                    -1.174984854554
1.35392696                    -1.174986908619
1.35402701                    -1.174988958194
1.35412706                    -1.174991003281
1.35422711                    -1.17499304388
1.35432716                    -1.174995079994
1.35442721                    -1.174997111624
1.35452726                    -1.174999138771
1.35462731                    -1.175001161438
1.35472736                    -1.175003179625
1.35482741                    -1.175005193335
1.35492746                    -1.175007202567
1.35502751                    -1.175009207327
1.35512756                    -1.175011207611
1.35522761                    -1.175013203425
1.35532766                    -1.175015194769
1.35542771                    -1.175017181642
1.35552776                    -1.17501916405
1.35562781                    -1.175021141992
1.35572786                    -1.175023115471
1.35582791                    -1.175025084485
1.35592796                    -1.17502704904
1.35602801                    -1.175029009137
1.35612806                    -1.175030964772
1.35622811                    -1.175032915953
1.35632816                    -1.17503486268
1.35642821                    -1.175036804952
1.35652826                    -1.175038742773
1.35662831                    -1.175040676145
1.35672836                    -1.175042605066
1.35682841                    -1.175044529541
1.35692846                    -1.175046449571
1.35702851                    -1.175048365155
1.35712856                    -1.175050276298
1.35722861                    -1.175052182999
1.35732866                    -1.17505408526
1.35742871                    -1.175055983085
1.35752876                    -1.175057876471
1.35762881                    -1.175059765424
1.35772886                    -1.175061649942
1.35782891                    -1.17506353003
1.35792896                    -1.175065405685
1.35802901                    -1.175067276912
1.35812906                    -1.175069143712
1.35822911                    -1.175071006086
1.35832916                    -1.175072864036
1.35842921                    -1.175074717563
1.35852926                    -1.175076566668
1.35862931                    -1.175078411354
1.35872936                    -1.175080251622
1.35882941                    -1.175082087472
1.35892946                    -1.175083918907
1.35902951                    -1.17508574593
1.35912956                    -1.175087568539
1.35922961                    -1.175089386737
1.35932966                    -1.175091200528
1.35942971                    -1.17509296158
1.35952976                    -1.175094766421
1.35962981                    -1.175096566856
1.35972986                    -1.175098362891
1.35982991                    -1.175100154523
1.35992996                    -1.175101941757
1.36003002                    -1.17510372477
1.36013007                    -1.17510550321
1.36023012                    -1.175107277253
1.36033017                    -1.175109046903
1.36043022                    -1.175110812162
1.36053027                    -1.175112573029
1.36063032                    -1.175114329509
1.36073037                    -1.1751160816
1.36083042                    -1.175117829306
1.36093047                    -1.175119572628
1.36103052                    -1.175121311567
1.36113057                    -1.175123046124
1.36123062                    -1.175124776301
1.36133067                    -1.175126502101
1.36143072                    -1.175128223522
1.36153077                    -1.17512994057
1.36163082                    -1.175131653242
1.36173087                    -1.175133361543
1.36183092                    -1.175135065473
1.36193097                    -1.175136765033
1.36203102                    -1.175138460227
1.36213107                    -1.175140151052
1.36223112                    -1.175141837513
1.36233117                    -1.175143519612
1.36243122                    -1.175145197349
1.36253127                    -1.175146870725
1.36263132                    -1.175148539741
1.36273137                    -1.175150204402
1.36283142                    -1.175151864706
1.36293147                    -1.175153520656
1.36303152                    -1.175155172252
1.36313157                    -1.175156819498
1.36323162                    -1.175158462395
1.36333167                    -1.175160100941
1.36343172                    -1.175161735141
1.36353177                    -1.175163364997
1.36363182                    -1.175164990509
1.36373187                    -1.175166611677
1.36383192                    -1.175168228505
1.36393197                    -1.175169840995
1.36403202                    -1.175171449146
1.36413207                    -1.175173052961
1.36423212                    -1.175174652439
1.36433217                    -1.175176247586
1.36443222                    -1.175177838399
1.36453227                    -1.175179424883
1.36463232                    -1.175181007038
1.36473237                    -1.175182584866
1.36483242                    -1.175184158367
1.36493247                    -1.175185727543
1.36503252                    -1.175187292397
1.36513257                    -1.17518885293
1.36523262                    -1.175190409142
1.36533267                    -1.175191961036
1.36543272                    -1.175193508612
1.36553277                    -1.175195051875
1.36563282                    -1.175196590821
1.36573287                    -1.175198125455
1.36583292                    -1.17519965578
1.36593297                    -1.175201181793
1.36603302                    -1.175202703499
1.36613307                    -1.175204220897
1.36623312                    -1.175205733991
1.36633317                    -1.175207242781
1.36643322                    -1.175208747268
1.36653327                    -1.175210247455
1.36663332                    -1.175211743342
1.36673337                    -1.175213234933
1.36683342                    -1.175214722226
1.36693347                    -1.175216205226
1.36703352                    -1.17521768393
1.36713357                    -1.175219158344
1.36723362                    -1.175220628468
1.36733367                    -1.175222094301
1.36743372                    -1.175223555847
1.36753377                    -1.175225013109
1.36763382                    -1.175226466085
1.36773387                    -1.175227914777
1.36783392                    -1.175229359189
1.36793397                    -1.175230799321
1.36803402                    -1.175232235173
1.36813407                    -1.175233666749
1.36823412                    -1.175235094048
1.36833417                    -1.175236517073
1.36843422                    -1.175237935828
1.36853427                    -1.175239350308
1.36863432                    -1.17524076052
1.36873437                    -1.175242166463
1.36883442                    -1.17524356814
1.36893447                    -1.175244965552
1.36903452                    -1.175246358699
1.36913457                    -1.175247747583
1.36923462                    -1.175249132207
1.36933467                    -1.175250512572
1.36943472                    -1.175251888677
1.36953477                    -1.175253260528
1.36963482                    -1.175254628121
1.36973487                    -1.175255991461
1.36983492                    -1.175257350551
1.36993497                    -1.175258705387
1.37003502                    -1.175260055977
1.37013507                    -1.175261402317
1.37023512                    -1.17526274441
1.37033517                    -1.175264082261
1.37043522                    -1.175265415866
1.37053527                    -1.17526674523
1.37063532                    -1.175268070352
1.37073537                    -1.175269391238
1.37083542                    -1.175270707883
1.37093547                    -1.175272020293
1.37103552                    -1.175273328469
1.37113557                    -1.175274632411
1.37123562                    -1.175275932123
1.37133567                    -1.175277227602
1.37143572                    -1.175278518853
1.37153577                    -1.175279805877
1.37163582                    -1.175281088676
1.37173587                    -1.175282367249
1.37183592                    -1.175283641598
1.37193597                    -1.175284911728
1.37203602                    -1.175286177636
1.37213607                    -1.175287439327
1.37223612                    -1.175288696798
1.37233617                    -1.175289950055
1.37243622                    -1.175291199098
1.37253627                    -1.175292443926
1.37263632                    -1.175293684544
1.37273637                    -1.175294920952
1.37283642                    -1.175296153151
1.37293647                    -1.175297381143
